Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C30, C31, C32",0201,6,CC0402KRX5R7BB105,
"C10, C11, C12, C13, C14, C15, C16, C7, C9",0201,9,0.1uF,
"C17, C21, C4",0201,3,4.7uF,
C18,0201,1,22uF,
"C19, C22",0201,2,100nF,
"C27, C28",0201,2,100n,
C29,0201,1,4.7n,
"C5, C6",0201,2,1uF,
C8,0201,1,10uF,
FB1,0201,1,220R,
FL1,FIL_DLW32MH201XK2L,1,DLW32MH201XK2L,
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
IC1,QFN50P400X500X100-29N-D,1,DP83TC813RRHFRQ1,
J1,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Conn_01x02,
L1,0805,1,3.3uH,
P1,USB_C_Plug_Molex_105444,1,USB_C_Plug,
"R1, R2, R3",0402,3,RC0402JR-07200KL,
R10,0402,1,100k,
R4,0402,1,RC0402FR-07887KL,
R5,0402,1,2k,
R6,0402,1,12k,
R7,0402,1,10k,
"R8, R9",0402,2,1k,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.5x1.5mm,4,TestPoint,
U1,QFN50P900X900X100-65N_LAN7801_9JX,1,LAN7801_9JX,
U2,WSON-6-1EP_3x3mm_P0.95mm,1,LP38693SD-3.3,
U3,QFN40P450X250X80-31N120X320,1,HD3SS3220IRNHT,
U4,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,KC2520Z125.000C1KX00,
U5,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,KC2520Z25.0000C1KX00,
