Designator,Mid X,Mid Y,Rotation,Layer
C1,143.32,-134.56,270.0,top
C10,137.595,-142.36,180.0,top
C11,137.61,-144.35,180.0,top
C12,140.18,-148.895,270.0,top
C13,145.665,-148.55,0.0,top
C14,147.5,-137.59,0.0,top
C15,146.07,-137.58,180.0,top
C16,148.93,-141.175,90.0,top
C17,147.09,-148.54,0.0,top
C18,147.11,-149.28,0.0,top
C19,134.26,-143.58,270.0,top
C2,148.56,-133.24,0.0,top
C21,130.56,-136.37,0.0,top
C22,130.56,-137.18,0.0,top
C27,131.49,-153.49,270.0,top
C28,132.49,-153.49,270.0,top
C29,134.35,-152.035,270.0,top
C3,142.85,-133.43,180.0,top
C30,140.63,-132.91,270.0,top
C31,141.4,-131.67,90.0,top
C32,148.59,-136.61,0.0,top
C4,133.53,-143.61,270.0,top
C5,138.88,-133.29,90.0,top
C6,134.34,-132.18,270.0,top
C7,137.6,-139.58,180.0,top
C8,136.8,-137.86,180.0,top
C9,137.61,-140.31,180.0,top
FB1,145.65,-149.3,180.0,top
FL1,132.02,-150.43,270.0,top
IC1,131.49,-140.21,270.0,top
J1,141.11,-153.585,0.0,top
L1,143.14,-149.04,0.0,top
P1,140.0,-129.0,0.0,top
R1,146.91,-130.96,0.0,top
R10,129.74,-151.81,90.0,top
R2,142.0,-135.77,180.0,top
R3,141.99,-134.78,180.0,top
R4,148.83,-134.79,180.0,top
R5,137.38,-138.72,0.0,top
R6,151.44,-137.68,270.0,top
R7,149.03,-139.5,270.0,top
R8,130.19,-153.25,180.0,top
R9,133.77,-153.25,0.0,top
U1,143.445,-143.09,0.0,top
U2,136.63,-132.83,180.0,top
U3,146.115,-134.21,180.0,top
U4,136.57,-148.83,90.0,top
U5,139.255,-136.125,270.0,top
